Training Encodings	Validation Fold	Testing Fold	Best C (Validation)	Best Gamma (Validation)	MCC on test fold
AA	1	0	8	scale	0.7755274832850017
AA	2	1	8	2	0.8002826123822776
AA	3	2	4	2	0.7827363534205548
AA	4	3	8	1	0.7749305228828595
AA	0	4	2	2	0.7913131458647261
AA, HP	1	0	8	2	0.8349003705676888
AA, HP	2	1	2	1	0.8066306816620664
AA, HP	3	2	4	2	0.7826227054986713
AA, HP	4	3	4	2	0.8094571108763556
AA, HP	0	4	8	2	0.838383946460339
AA, CH	1	0	4	2	0.7751692217539371
AA, CH	2	1	4	2	0.7906344530098879
AA, CH	3	2	8	2	0.7533197937822216
AA, CH	4	3	8	2	0.7876181525650977
AA, CH	0	4	8	2	0.7950711681386402
AA, AH	1	0	4	scale	0.7717231421921404
AA, AH	2	1	2	2	0.7939345431024889
AA, AH	3	2	8	1	0.781565877144708
AA, AH	4	3	8	scale	0.7816873193290809
AA, AH	0	4	2	2	0.7893741707383156
AA, TM	1	0	8	2	0.8725728229733839
AA, TM	2	1	4	2	0.875149826370011
AA, TM	3	2	8	2	0.8293099045545739
AA, TM	4	3	4	scale	0.8390281399971636
AA, TM	0	4	2	2	0.8465527267248948
AA, HP, CH	1	0	8	1	0.8304447982386529
AA, HP, CH	2	1	8	1	0.8184336286953571
AA, HP, CH	3	2	8	2	0.7847029698520473
AA, HP, CH	4	3	8	2	0.8221814121864003
AA, HP, CH	0	4	4	1	0.8430077351038558
AA, HP, AH	1	0	8	2	0.8191658082765161
AA, HP, AH	2	1	4	0.5	0.799828047081322
AA, HP, AH	3	2	8	scale	0.7960362321244502
AA, HP, AH	4	3	4	2	0.7989750687461908
AA, HP, AH	0	4	8	1	0.8365980010587587
AA, HP, TM	1	0	4	2	0.8701972883788315
AA, HP, TM	2	1	8	1	0.8725277892244014
AA, HP, TM	3	2	8	2	0.8157495832469254
AA, HP, TM	4	3	8	2	0.8412730939400892
AA, HP, TM	0	4	1	2	0.850159034846157
AA, CH, AH	1	0	8	1	0.7713542049701092
AA, CH, AH	2	1	8	2	0.7901898523791018
AA, CH, AH	3	2	8	2	0.7713238235208162
AA, CH, AH	4	3	4	2	0.767232579544259
AA, CH, AH	0	4	8	scale	0.7950668582914984
AA, CH, TM	1	0	8	2	0.8843494053185922
AA, CH, TM	2	1	8	2	0.8813239158227862
AA, CH, TM	3	2	4	2	0.8219370586513621
AA, CH, TM	4	3	4	2	0.8564757419895117
AA, CH, TM	0	4	2	2	0.8502354447799181
AA, AH, TM	1	0	8	2	0.872033220775634
AA, AH, TM	2	1	8	2	0.8698222989306654
AA, AH, TM	3	2	4	scale	0.8117440531495901
AA, AH, TM	4	3	8	2	0.8412730939400892
AA, AH, TM	0	4	2	2	0.8564319096692407
AA, HP, CH, AH	1	0	8	scale	0.8284256697975971
AA, HP, CH, AH	2	1	8	1	0.8187799797730586
AA, HP, CH, AH	3	2	8	2	0.7651285774509207
AA, HP, CH, AH	4	3	8	0.5	0.8127249597111553
AA, HP, CH, AH	0	4	8	1	0.8357425868283818
AA, HP, CH, TM	1	0	8	2	0.8952543444428889
AA, HP, CH, TM	2	1	8	1	0.8848485441217538
AA, HP, CH, TM	3	2	8	1	0.8284122652830901
AA, HP, CH, TM	4	3	8	1	0.8521797301401678
AA, HP, CH, TM	0	4	2	1	0.8502354447799181
AA, HP, AH, TM	1	0	8	1	0.8701972883788315
AA, HP, AH, TM	2	1	8	1	0.8671438062472824
AA, HP, AH, TM	3	2	8	2	0.8093849476278794
AA, HP, AH, TM	4	3	8	2	0.850910082296178
AA, HP, AH, TM	0	4	4	2	0.8610088032034222
AA, CH, AH, TM	1	0	8	2	0.8843494053185922
AA, CH, AH, TM	2	1	8	2	0.8848485441217538
AA, CH, AH, TM	3	2	2	2	0.8117440531495901
AA, CH, AH, TM	4	3	2	2	0.8499509445224694
AA, CH, AH, TM	0	4	2	2	0.8430077351038558
AA, HP, CH, AH, TM	1	0	8	2	0.8786092008103106
AA, HP, CH, AH, TM	2	1	8	2	0.8920642244811503
AA, HP, CH, AH, TM	3	2	4	1	0.8228670066619341
AA, HP, CH, AH, TM	4	3	4	0.5	0.8623546777440917
AA, HP, CH, AH, TM	0	4	2	1	0.8522311587016689
